cia_id,ofac_id,cia_name,ofac_name,cia_country,ofac_nationality,name_score,recommended_action
08760fca-9e7a-5b85-9c67-ffbba9ffa040,dce09c1b-b72a-5fb7-b7dc-dde9daf3eaff,ahmad al-khulayfi,ahmad al-hamidawi,Saudi Arabia,iq,70.59,REVIEW
77f40339-d301-5698-bd48-f8e34beb116d,b0fdb11d-341b-581d-a51f-717d469af731,idith alexander,alexander volfovich,Seychelles,cy,70.59,REVIEW
b273d1ba-32a5-5dd2-9449-5439bd442e43,1b34b0b2-08e6-501a-9b61-6657e2cd4465,chun sing chan,dick chung chun wong,Singapore,hk,70.59,REVIEW
6295a5d3-37bc-5428-bf03-30e95ed71313,2611897c-9239-5ba7-8f95-f1e9917f484a,hassan hussein mohamed “elaay”,mohamed hussein salad,Somalia,so,70.59,REVIEW
f322b8e0-5492-53f6-9b5f-c2f86507973b,371fe94e-80d1-5e84-b411-b93248534017,abdulkadir muhammad nur,muhammad jibril abdul rahman,Somalia,id,70.59,REVIEW
9813a436-bcaf-50ee-a39a-8e63b50c7a09,7f82f1be-9b2f-5e70-91de-0dc6fe44efb7,mohamed adan moalim,mohamed al-kani,Somalia,ly,70.59,REVIEW
9813a436-bcaf-50ee-a39a-8e63b50c7a09,2bb0f74e-ea05-5834-8b39-07429821f80b,mohamed adan moalim,halima adan ali,Somalia,ke,70.59,REVIEW
80e85b20-3659-5497-a31c-e42e37437cc0,bd92fac4-4696-5760-8ae5-3b41af811a1a,abdirahman mohamed abdullahi,abdikarin farah mohamed,Somalia,so,70.59,REVIEW
80e85b20-3659-5497-a31c-e42e37437cc0,5b1f9cfe-6333-5a34-bf72-4601e91daba9,abdirahman mohamed abdullahi,abdirahman mohamed omar,Somalia,so,70.59,REVIEW
510a1792-b3db-5740-b718-f4d6c0e4f4f3,ebf75025-d523-596a-bfe6-238142602a8f,ibrahim jaber ibrahim,ibrahim taher,Sudan,lb,70.59,REVIEW
93f38396-d1ec-5818-a7cd-bd96fce10d48,cf9bcb9f-16d9-54fc-864e-95a75b6df554,muhammad bashir,muhammad al-ghazali,Sudan,ye,70.59,REVIEW
93f38396-d1ec-5818-a7cd-bd96fce10d48,d72482c5-ddc9-5b1f-b377-a3d91bbc073c,muhammad bashir,muhammad kawtharani,Sudan,lb,70.59,REVIEW
93f38396-d1ec-5818-a7cd-bd96fce10d48,a6c385a2-a585-5bc9-8900-f1f1fa0de7b5,muhammad bashir,muhammad harris dar,Sudan,,70.59,REVIEW
93f38396-d1ec-5818-a7cd-bd96fce10d48,353d33bb-6dc1-5a91-bdd2-e8c889702d03,muhammad bashir,ali muhammad hamsho,Sudan,sy,70.59,REVIEW
c554844f-e388-549b-9ce8-a0b2c70c1a7d,9492526c-b95f-5723-86e0-8bb7130eea68,benjamin dousa,benjamin torres sosa,Sweden,mx,70.59,REVIEW
bf25ab26-bc71-5198-97f7-626c6a2c5ccf,bd77ca51-03ae-512d-839b-619fba8b20a1,muhammad yasin salih,muhammad qasir,Syria,,70.59,REVIEW
c2369b0c-9fa5-5e0b-a144-0128a0d33c6e,971fb4b9-ba28-52fa-871a-346865fa318e,muhammad al-bashir,kayiira muhammad,Syria,ug,70.59,REVIEW
c2369b0c-9fa5-5e0b-a144-0128a0d33c6e,68bbe1cf-00bd-5454-8936-65f8103f9dbf,muhammad al-bashir,muhammad gaddafi,Syria,,70.59,REVIEW
c2369b0c-9fa5-5e0b-a144-0128a0d33c6e,24b50789-f8d0-53db-b7d2-2f4ec2eeccdf,muhammad al-bashir,muhammad abbatay,Syria,ma,70.59,REVIEW
43b6ef8b-4f1b-57af-8e1a-e1552fdd6344,0d2aab89-52e7-5356-9873-f9539c5c1830,muhammad anjarani,muhammad al-hindi,Syria,,70.59,REVIEW
363a881e-6838-5bf9-8cb0-769d8385846e,805c8477-a73b-5dbc-9ff0-1110a4a2958f,chu chen,eric chen,Taiwan,,70.59,REVIEW
